university,Medical Imaging,Stem Cell Engineering,Clinical Medicine,Genetics,Cancer Research,Drug Delivery,Public Health,Neurology,Tissue Engineering,Animal Model,Epidemiology,Cell Biologies,Bone Marrow Regeneration,Brain Machine Interface,Spinal Injury & Rehabilitation,Musculoskeletal Regeneration,Machine Learning,Covid-19,Aging,Cardiac Engineering
University_of_Cambridge,121.46648261437501,1119.6065250606387,1970.4477024086966,1150.8781737809697,361.7112939007946,2905.4129818745264,1569.0673534874913,1858.2517262661559,768.818453968789,602.6430813484058,299.36494872101827,893.0543275973879,286.64770371709204,905.6440987698109,508.22669698836523,291.5442795118445,4107.575697006325,634.3750109559204,1878.3062946095747,388.86222584727483
University_of_Hong_Kong,134.1084964966321,766.1163406386922,147.716449089082,514.5542327870525,117.23992845835289,490.76513416206535,157.02651385249612,206.64362803003365,218.47074266999562,211.41374873107895,62.82967264845424,726.4283916402701,432.2486599974351,208.50024531871173,286.57803695956295,84.92847340112814,474.27904882887754,192.23391494376781,158.08020964993045,144.4333781986752
University_of_Michigan,798.6779542814481,9303.050301042065,2651.7199212776704,1687.0218185405838,5375.451056542554,3886.166672981341,1601.8239080157532,1812.162246519472,4662.723598172399,5272.040045580818,397.4775725737906,2692.0883680265842,2224.0794398981634,1391.8754203827802,1742.1374964589427,2028.9624940795884,3407.565356833873,4058.596416507164,1984.94707167297,2211.1228650757957
University_of_Oxford,266.93719320703747,351.60769447926066,1741.327490497327,322.8246840170502,508.2831258048006,1211.23359276355,988.3921371203104,372.5006899186734,345.4627831382998,603.5964612631676,310.77786543968574,362.2123382078413,107.706155634953,536.1838226968824,815.0375238269096,114.04011212554714,3292.8958067005715,726.9177525154354,862.7289777087051,825.024798166049
University_of_Pennsylvania,775.88958298389,16649.735486200534,2108.880734247591,6743.039151916158,6914.347072679336,10469.204653545621,3682.1764451294134,2707.3027058383263,9497.298242642948,6207.474690035075,303.80275323851583,4764.466867526192,1120.3671368830853,4217.180913920389,2077.037092534125,867.1626598331254,5850.706308598485,5733.14921948318,1346.387342736152,2355.404424528762
University_of_Pittsburgh,763.3741813668632,9852.03429322633,9924.239490276921,2753.39172064434,4474.66105121329,3194.784181330239,3737.491411407027,3848.385417767186,4760.380354963354,9979.5116910295,5532.894098492485,4042.9306664419105,1791.5335342878834,3334.761764969012,7031.539527110264,3689.23774313997,6645.911018594044,9203.11607194973,9975.388350722842,6631.961204846009
University_of_Sydney,61.7522822540647,536.3650582122431,193.23332848509608,313.1839284502426,87.91776024450971,1130.8743822780918,217.61066113878516,409.49645260407465,841.4345873452108,298.9643380872757,52.05750316691031,472.46952640461825,1399.8809503941889,452.2535585928682,58.5224992823213,94.10951427800545,480.71138336587615,159.2265488083666,249.19574423554658,172.34373139223226
University_of_Tokyo,266.276566750877,2741.191727369208,1416.918835052832,2585.420202375729,1934.022250351063,2848.0034495520968,671.2332944036185,768.2243205252753,1348.0328448849789,2178.98642587936,131.25225188162273,4908.458541260306,383.2556688792624,720.9936305219602,376.23883549521486,301.5234714290842,1334.2526127306965,1241.6874277760924,1036.8471822272402,611.7335785933258
University_of_Toronto,574.3885403396446,11064.148426465019,2409.3718149679908,4315.399265678366,3612.9092006059177,7488.959737596208,2525.409418616447,2249.398783506916,7249.07757938624,5613.8579890727515,411.82566803753986,4011.2505820782203,910.9808805154726,2026.8350099612999,2034.4246664455763,2415.986724915968,4720.533235272724,2084.2005440231655,2137.735310461035,6414.707311992978
University_of_Washington,631.6234325965435,8297.859780675584,1292.7342276864817,2034.9295000405825,2226.485480076057,5524.237434451416,2293.670166771633,1202.6616772201598,3218.7028592047177,4445.662163053356,763.9938030809047,4096.453507299739,624.317503462544,3415.922230346076,1714.774562137443,931.1826086899255,3662.2286951288042,2706.518593791946,977.5940500107749,6488.600124044072
